1758203556489328892,,,,0.089,5.636,7.987,
1758203556490730298,,,,,,,1.04
1758203556595917486,,,,0.146,5.765,8.219,
1758203556597725506,,,,,,,1.04
1758203556702467642,,,,0.06,5.727,8.203,
1758203556704270246,,,,,,,1.04
1758203556804987694,,,,0.127,5.792,8.279,
1758203556806384413,,,,,,,1.04
1758203556911623006,,,,0.053,5.899,7.86,
1758203556913015715,,,,,,,1.04
1758203557014438892,,,,0.139,5.65,8.174,
1758203557015835819,,,,,,,1.04
1758203557121085142,,,,0.146,5.72,8.128,
1758203557122480142,,,,,,,1.04
1758203557227899829,,,,0.06,5.969,8.195,
1758203557229280819,,,,,,,1.04
1758203557334622173,,,,0.218,5.746,8.255,
1758203557336046183,,,,,,,1.04
1758203557441445767,,,,-0.091,5.725,8.169,
1758203557442845089,,,,,,,1.04
1758203557548123110,,,,0.144,5.602,8.164,
1758203557549519673,,,,,,,1.04
1758203557654941444,,,,0.115,5.933,8.157,
1758203557656403787,,,,,,,1.04
1758203557761753266,,,,-0.036,5.737,8.08,
1758203557763137433,,,,,,,1.04
1758203557864080298,,,,0.182,5.782,8.083,
1758203557865453683,,,,,,,1.04
1758203557969508787,,,,0.005,5.732,8.064,
1758203557971720818,,,,,,,1.04
1758203558077981600,,,,0.144,5.808,8.109,
1758203558080011339,,,,,,,1.04
1758203558181927954,,,,0.036,5.641,8.255,
1758203558183313370,,,,,,,1.04
1758203558288765662,,,,0.0,5.792,8.092,
1758203558290178110,,,,,,,1.04
1758203558391644412,,,,0.038,5.567,8.04,
1758203558393019620,,,,,,,0.06
1758203558498329204,,,,-0.057,5.679,8.083,
1758203558499728214,,,,,,,0.06
1758203558600865402,,,,0.041,5.772,8.09,
1758203558602245349,,,,,,,0.06
1758203558703656183,,,,0.12,5.703,8.056,
1758203558705025922,,,,,,,2.86
1758203558810374985,,,,0.012,5.801,8.045,
1758203558811761599,,,,,,,2.86
1758203558917284151,,,,0.05,5.667,8.26,
1758203558918688266,,,,,,,2.86
1758203559024154828,,,,0.055,5.708,7.898,
1758203559025557693,,,,,,,2.86
1758203559130727224,,,,0.067,5.631,8.14,
1758203559132122693,,,,,,,2.86
1758203559237544724,,,,0.022,5.808,8.2,
1758203559238953578,,,,,,,2.86
1758203559344309620,,,,0.081,5.677,8.064,
1758203559345714985,,,,,,,2.86
1758203559451162120,,,,0.105,5.686,8.181,
1758203559452565037,,,,,,,2.86
1758203559557995245,,,,0.089,5.727,7.97,
1758203559559395505,,,,,,,2.86
1758203559664827641,,,,0.156,5.722,7.994,
1758203559666271807,,,,,,,2.86
1758203559767919412,,,,0.01,5.679,8.056,
1758203559769296182,,,,,,,0.95
1758203559875045036,,,,-0.038,5.705,7.98,
1758203559876481755,,,,,,,0.95
1758203559981795505,,,,0.06,5.772,7.987,
1758203559983284672,,,,,,,0.95
1758203560088326182,,,,0.139,5.66,7.994,
1758203560089720609,,,,,,,0.95
1758203560195181495,,,,0.146,5.806,8.102,
1758203560196618370,,,,,,,0.95
1758203560298376911,,,,0.043,5.744,8.107,
1758203560299779047,,,,,,,0.95
1758203560405685088,,,,0.184,5.66,8.1,
1758203560407060193,,,,,,,0.95
1758203560508146703,,,,0.208,5.545,8.135,
1758203560509529255,,,,,,,0.95
1758203560610593474,,,,-0.005,5.574,7.977,
1758203560612237849,,,,,,,1.14
1758203560717783578,,,,0.002,5.679,8.088,
1758203560719181182,,,,,,,1.14
1758203560821317119,,,,0.096,5.737,8.128,
1758203560822700036,,,,,,,1.14
1758203560923810765,,,,0.151,5.581,8.064,
1758203560925171859,,,,,,,1.14
1758203561030835609,,,,0.096,5.806,8.181,
1758203561032248161,,,,,,,1.14
1758203561137705244,,,,0.103,5.772,8.095,
1758203561139101078,,,,,,,1.14
1758203561240364880,,,,0.108,5.744,7.982,
1758203561241739671,,,,,,,1.14
1758203561347313421,,,,0.014,5.693,8.164,
1758203561348719671,,,,,,,1.14
1758203561454309307,,,,0.124,5.701,8.229,
1758203561455718578,,,,,,,1.14
1758203561561157692,,,,0.091,5.703,8.033,
1758203561562559255,,,,,,,1.14
1758203561667971130,,,,0.235,5.698,7.977,
1758203561669372484,,,,,,,1.14
1758203561774754046,,,,0.012,5.722,8.085,
1758203561776256650,,,,,,,1.14
1758203561881683629,,,,0.165,5.655,8.2,
1758203561883083004,,,,,,,1.14
1758203561988616806,,,,0.285,5.657,7.966,
1758203561990024931,,,,,,,1.14
1758203562091418942,,,,0.057,5.782,8.092,
1758203562092812015,,,,,,,1.14
1758203562193947484,,,,-0.108,5.904,8.231,
1758203562195326911,,,,,,,1.14
1758203562296216025,,,,0.275,5.617,8.021,
1758203562297593525,,,,,,,1.14
1758203562398530765,,,,0.101,5.523,8.049,
1758203562399902223,,,,,,,1.14
1758203562505385713,,,,0.014,5.509,8.179,
1758203562506828213,,,,,,,1.14
1758203562612098994,,,,0.117,5.799,8.131,
1758203562613497692,,,,,,,1.14
1758203562714860140,,,,0.089,5.535,8.066,
1758203562716294202,,,,,,,1.14
1758203562817425765,,,,0.175,5.665,8.068,
1758203562818772952,,,,,,,1.14
1758203562919896181,,,,0.029,5.626,8.061,
1758203562921264462,,,,,,,1.14
1758203563026896285,,,,0.136,5.662,8.222,
1758203563028311442,,,,,,,1.14
1758203563129500035,,,,0.022,5.813,8.169,
1758203563130857744,,,,,,,1.14
1758203563232022119,,,,-0.105,5.892,8.174,
1758203563233362535,,,,,,,1.14
1758203563334480087,,,,0.175,5.516,8.226,
1758203563336009566,,,,,,,0.37
1758203563441234358,,,,0.012,5.813,8.088,
1758203563442634306,,,,,,,0.37
1758203563543651233,,,,0.036,5.71,8.061,
1758203563545029670,,,,,,,0.37
1758203563650429410,,,,0.117,5.722,8.068,
1758203563651811754,,,,,,,0.37
