[1758209002448698434],,,,9.596,2.885,1.317,
[1758209002448698434],,,,,,,0.0
[1758209002454004320],,,,9.459,2.804,1.432,
[1758209002454004320],,,,,,,0.0
[1758209002459151872],,,,9.4,2.887,1.271,
[1758209002459151872],,,,,,,0.0
[1758209002464221143],,,,9.469,2.959,1.295,
[1758209002464221143],,,,,,,0.0
[1758209002469333747],,,,9.481,2.909,1.377,
[1758209002469333747],,,,,,,0.0
[1758209002474401403],,,,9.608,2.959,1.302,
[1758209002474401403],,,,,,,0.0
[1758209002480740570],,,,9.416,2.919,1.386,
[1758209002480740570],,,,,,,0.0
[1758209002485943747],,,,9.445,2.928,1.247,
[1758209002485943747],,,,,,,0.0
[1758209002491003590],,,,9.428,2.966,1.099,
[1758209002491003590],,,,,,,0.0
[1758209002496060101],,,,9.493,3.029,1.314,
[1758209002496060101],,,,,,,0.0
[1758209002501144893],,,,9.426,3.053,1.341,
[1758209002501144893],,,,,,,0.0
[1758209002506187965],,,,9.438,2.909,1.075,
[1758209002506187965],,,,,,,0.0
[1758209002511215726],,,,9.306,2.768,1.147,
[1758209002511215726],,,,,,,0.0
[1758209002516260257],,,,9.541,2.866,1.3,
[1758209002516260257],,,,,,,0.0
[1758209002521393382],,,,9.448,2.818,1.358,
[1758209002521393382],,,,,,,0.0
[1758209002526576768],,,,9.629,2.887,1.276,
[1758209002526576768],,,,,,,0.0
[1758209002531746507],,,,9.622,2.828,1.336,
[1758209002531746507],,,,,,,0.0
[1758209002536812601],,,,9.608,2.859,1.346,
[1758209002536812601],,,,,,,0.0
[1758209002541898747],,,,9.555,2.919,1.267,
[1758209002541898747],,,,,,,0.0
[1758209002546955986],,,,9.412,3.01,1.341,
[1758209002546955986],,,,,,,0.0
[1758209002553410413],,,,9.414,2.856,1.168,
[1758209002553410413],,,,,,,0.0
[1758209002558651507],,,,9.385,2.861,1.353,
[1758209002558651507],,,,,,,0.0
[1758209002563714528],,,,9.419,2.914,1.216,
[1758209002563714528],,,,,,,0.0
[1758209002568747236],,,,9.38,2.844,1.441,
[1758209002568747236],,,,,,,0.0
[1758209002573814320],,,,9.285,2.847,1.29,
[1758209002573814320],,,,,,,0.0
[1758209002578847497],,,,9.524,2.921,1.482,
[1758209002578847497],,,,,,,0.0
[1758209002583969997],,,,9.467,2.835,1.362,
[1758209002583969997],,,,,,,0.0
[1758209002589143174],,,,9.471,2.885,1.446,
[1758209002589143174],,,,,,,0.0
[1758209002594251143],,,,9.38,2.768,1.355,
[1758209002594251143],,,,,,,0.0
[1758209002599473330],,,,9.474,2.998,1.247,
[1758209002599473330],,,,,,,0.0
[1758209002604711924],,,,9.462,3.014,1.286,
[1758209002604711924],,,,,,,0.0
[1758209002609823643],,,,9.445,2.899,1.326,
[1758209002609823643],,,,,,,0.0
[1758209002614885153],,,,9.419,2.907,1.274,
[1758209002614885153],,,,,,,0.0
[1758209002619961611],,,,9.385,2.933,1.281,
[1758209002619961611],,,,,,,0.0
[1758209002625028382],,,,9.335,2.875,1.377,
[1758209002625028382],,,,,,,0.0
[1758209002630198382],,,,9.443,2.859,1.276,
[1758209002630198382],,,,,,,0.0
[1758209002635310049],,,,9.392,3.017,1.295,
[1758209002635310049],,,,,,,0.0
[1758209002640400830],,,,9.383,2.83,1.35,
[1758209002640400830],,,,,,,0.0
[1758209002645488382],,,,9.476,2.777,1.137,
[1758209002645488382],,,,,,,0.0
[1758209002650588330],,,,9.333,2.909,1.269,
[1758209002650588330],,,,,,,0.0
[1758209002656305622],,,,9.455,2.904,1.437,
[1758209002656305622],,,,,,,0.0
[1758209002661496715],,,,9.376,2.887,1.147,
[1758209002661496715],,,,,,,0.0
[1758209002666572809],,,,9.507,2.883,1.24,
[1758209002666572809],,,,,,,0.0
[1758209002671684580],,,,9.479,2.897,1.18,
[1758209002671684580],,,,,,,0.0
[1758209002676744840],,,,9.457,2.861,1.334,
[1758209002676744840],,,,,,,0.0
[1758209002681907236],,,,9.407,2.825,1.422,
[1758209002681907236],,,,,,,0.0
[1758209002687065986],,,,9.483,2.909,1.185,
[1758209002687065986],,,,,,,0.0
[1758209002692144007],,,,9.397,2.971,1.35,
[1758209002692144007],,,,,,,0.0
[1758209002697292497],,,,9.359,2.875,1.075,
[1758209002697292497],,,,,,,0.0
[1758209002702557288],,,,9.414,3.045,1.374,
[1758209002702557288],,,,,,,0.0
