[1758210032419933875],,,,3.005,9.598,-0.453
[1758210032426160333],,,,3.0,9.558,-0.129
[1758210032432739239],,,,3.033,9.467,-0.287
[1758210032439314604],,,,3.01,9.584,-0.247
[1758210032445875750],,,,3.019,9.369,-0.225
[1758210032452572781],,,,3.0,9.534,-0.17
[1758210032459119916],,,,2.988,9.519,-0.189
[1758210032464987052],,,,3.175,9.529,-0.414
[1758210032471511635],,,,3.0,9.548,-0.105
[1758210032477875177],,,,2.938,9.601,-0.201
[1758210032484461583],,,,3.057,9.517,-0.206
[1758210032490951114],,,,3.007,9.615,-0.297
[1758210032497360489],,,,3.029,9.505,-0.244
[1758210032503775906],,,,3.072,9.493,-0.239
[1758210032510077573],,,,3.165,9.646,-0.156
[1758210032516718614],,,,3.012,9.56,-0.175
[1758210032523159083],,,,2.981,9.627,-0.268
[1758210032529617729],,,,2.998,9.469,-0.204
[1758210032536025593],,,,3.086,9.474,-0.184
[1758210032542504864],,,,3.043,9.57,-0.151
[1758210032548879812],,,,3.089,9.615,-0.168
[1758210032555370906],,,,3.179,9.629,-0.273
[1758210032561817729],,,,3.031,9.589,-0.275
[1758210032568239187],,,,3.014,9.519,-0.22
[1758210032574678770],,,,2.976,9.524,-0.187
[1758210032581053041],,,,3.06,9.407,-0.007
[1758210032587411218],,,,2.998,9.505,-0.225
[1758210032593834500],,,,2.99,9.55,-0.05
[1758210032600101479],,,,3.079,9.459,-0.199
[1758210032606450802],,,,3.033,9.519,-0.134
[1758210032612922000],,,,3.05,9.538,-0.263
[1758210032619626323],,,,2.981,9.503,-0.259
[1758210032626565229],,,,2.988,9.622,-0.153
[1758210032633004604],,,,2.942,9.404,-0.292
[1758210032639437260],,,,3.153,9.608,-0.136
[1758210032645482156],,,,3.033,9.591,-0.316
[1758210032651261791],,,,3.036,9.505,-0.148
[1758210032656952312],,,,2.998,9.629,-0.215
[1758210032662750281],,,,2.971,9.527,-0.208
[1758210032668438510],,,,3.007,9.455,-0.204
[1758210032674131739],,,,3.021,9.538,-0.378
[1758210032679829187],,,,3.014,9.433,-0.215
[1758210032685567625],,,,2.995,9.486,-0.28
[1758210032691182208],,,,2.964,9.522,-0.302
[1758210032696880385],,,,3.043,9.644,-0.184
[1758210032702686062],,,,3.014,9.548,-0.048
[1758210032708488979],,,,3.038,9.546,-0.074
[1758210032714160906],,,,3.17,9.553,-0.342
[1758210032719904031],,,,3.168,9.445,-0.101
[1758210032725558979],,,,2.981,9.594,-0.127
[1758210032731410958],,,,2.964,9.538,-0.091
[1758210032737105333],,,,3.127,9.627,-0.299
[1758210032742864500],,,,3.053,9.541,-0.215
[1758210032749330072],,,,2.978,9.515,-0.189
[1758210032755816531],,,,3.019,9.541,-0.199
[1758210032762111739],,,,2.909,9.531,-0.242
[1758210032768400750],,,,3.057,9.649,-0.263
[1758210032774905125],,,,3.002,9.433,-0.283
[1758210032781157937],,,,2.99,9.646,-0.263
[1758210032787678250],,,,3.177,9.541,-0.11
[1758210032793955906],,,,3.031,9.481,-0.28
[1758210032800386739],,,,3.053,9.582,-0.328
[1758210032806705541],,,,3.019,9.586,-0.105
[1758210032813036375],,,,3.024,9.503,-0.302
[1758210032819448197],,,,3.007,9.39,-0.172
[1758210032826100437],,,,2.974,9.503,-0.192
[1758210032832381166],,,,3.033,9.596,-0.268
[1758210032838748770],,,,3.019,9.517,-0.306
[1758210032845315125],,,,2.981,9.594,-0.117
[1758210032851022625],,,,3.031,9.622,-0.275
