time_abs_s,time_rel_s,z1_raw,z1_rot_fit,z1_compensated
1758217988.8346124,4.117855548858643,0.462,2.0895772298210806,-1.6275772298210807
1758217988.841237,4.124480247497559,-0.318,1.970772173385251,-2.288772173385251
1758217988.8478043,4.131047487258911,-0.211,1.8526123215823285,-2.0636123215823283
1758217988.8541315,4.137374639511108,-0.939,1.7384325053039278,-2.6774325053039276
1758217988.8608146,4.144057750701904,-1.717,1.6174917823060995,-3.3344917823060998
1758217988.8674316,4.150674819946289,-1.262,1.4974300025547473,-2.7594300025547476
1758217988.873759,4.157002210617065,-0.888,1.3823534784170939,-2.270353478417094
1758217988.880537,4.163780212402344,-0.848,1.258813719097395,-2.106813719097395
1758217988.8869388,4.1701819896698,-0.587,1.1419009087996759,-1.7289009087996758
1758217988.893687,4.17693018913269,-0.175,1.0184453233444246,-1.1934453233444247
1758217988.9001703,4.183413505554199,-1.573,0.8996514794839686,-2.4726514794839685
1758217988.9066184,4.189861536026001,-0.584,0.7813493849968296,-1.3653493849968297
1758217988.9131086,4.196351766586304,-1.865,0.6621412702909325,-2.5271412702909326
1758217988.919623,4.202866077423096,-3.79,0.5423823207227304,-4.33238232072273
1758217988.9260778,4.209321022033691,-2.363,0.42363163355561273,-2.7866316335556127
1758217988.9325633,4.215806484222412,-2.969,0.3042603966298234,-3.2732603966298233
1758217988.939039,4.22228217124939,-2.761,0.18503412944371408,-2.946034129443714
1758217988.9454837,4.228726863861084,-2.095,0.06636781609684125,-2.1613678160968415
1758217988.9520266,4.235269784927368,-3.215,-0.054093550023648185,-3.1609064499763515
1758217988.958546,4.241789102554321,-2.011,-0.17408204472864947,-1.8369179552713506
1758217988.9647603,4.2480034828186035,-2.176,-0.2883999179493087,-1.8876000820506915
1758217988.9704971,4.253740310668945,-19.472,-0.39386365309533233,-19.078136346904667
1758217988.9761658,4.259408950805664,-3.22,-0.4979916895968932,-2.722008310403107
1758217988.9819145,4.265157699584961,-2.418,-0.6034911738019043,-1.8145088261980957
1758217988.9878333,4.271076440811157,-2.447,-0.7119873099330398,-1.7350126900669602
1758217988.9935021,4.276745319366455,-2.313,-0.8157693963354795,-1.4972306036645207
1758217988.9992774,4.282520532608032,-4.061,-0.9213466030959114,-3.1396533969040883
1758217989.005007,4.288250207901001,-3.158,-1.0259234570245626,-2.1320765429754376
1758217989.0107796,4.294022798538208,-3.917,-1.1310976284383878,-2.785902371561612
1758217989.0164232,4.299666404724121,-3.8,-1.2337250860839173,-2.5662749139160823
1758217989.0221882,4.305431365966797,-4.128,-1.3383420240880848,-2.7896579759119153
1758217989.0278249,4.311068058013916,-3.227,-1.4404028696253048,-1.786597130374695
1758217989.0336049,4.316848039627075,-4.039,-1.544807141797989,-2.4941928582020108
1758217989.0393128,4.322556018829346,-3.282,-1.6476450116256611,-1.634354988374339
1758217989.0457041,4.328947305679321,-4.171,-1.7624601489412584,-2.408539851058742
1758217989.0514174,4.334660530090332,-4.199,-1.864778223440981,-2.3342217765590187
1758217989.057157,4.340400218963623,-4.889,-1.9672528176832427,-2.9217471823167576
1758217989.0629468,4.346189975738525,-4.515,-2.070282404870333,-2.4447175951296667
1758217989.0694184,4.352661609649658,-4.144,-2.185022745740114,-1.958977254259886
1758217989.0753636,4.358606815338135,-4.458,-2.2900166034205443,-2.167983396579456
1758217989.0820208,4.365263938903809,-3.551,-2.4070909141469676,-1.1439090858530325
1758217989.088668,4.371911287307739,-3.809,-2.523450327915538,-1.2855496720844624
1758217989.0953376,4.378580808639526,-4.709,-2.639627534611204,-2.0693724653887955
1758217989.1016798,4.384922981262207,-4.484,-2.7495499211188044,-1.7344500788811956
1758217989.1081538,4.391396999359131,-5.471,-2.861179157819875,-2.6098208421801252
1758217989.114671,4.397914171218872,-5.064,-2.9729396357813545,-2.0910603642186456
1758217989.1212134,4.404456615447998,-5.253,-3.0844919707634424,-2.1685080292365577
1758217989.1275527,4.4107959270477295,-5.042,-3.1919458643745253,-1.8500541356254745
1758217989.1337967,4.41703987121582,-5.399,-3.2971518364839487,-2.1018481635160513
1758217989.1404574,4.423700571060181,-5.461,-3.408666628867559,-2.052333371132441
1758217989.146733,4.429976224899292,-5.234,-3.5130402556984417,-1.7209597443015583
1758217989.1532974,4.436540603637695,-4.891,-3.6214725854304883,-1.2695274145695117
1758217989.1598136,4.44305682182312,-5.933,-3.7283358214874838,-2.204664178512516
1758217989.1658423,4.449085474014282,-5.844,-3.826497703119742,-2.0175022968802585
1758217989.1715891,4.454832315444946,-6.63,-3.919423480607737,-2.710576519392263
1758217989.1773427,4.460585832595825,-6.057,-4.011808976526379,-2.0451910234736213
1758217989.1830175,4.466260671615601,-5.849,-4.102281344010419,-1.7467186559895813
1758217989.1889946,4.472237825393677,-6.0,-4.196860070789127,-1.8031399292108734
1758217989.1946516,4.4778947830200195,-5.753,-4.285683576735652,-1.4673164232643483
1758217989.2005985,4.48384165763855,-6.448,-4.378321854221831,-2.0696781457781697
1758217989.2058353,4.489078521728516,-5.969,-4.459261605157663,-1.509738394842337
1758217989.2114816,4.494724750518799,-6.85,-4.545845887094955,-2.304154112905045
1758217989.2172153,4.500458478927612,-6.5,-4.633033832785794,-1.8669661672142057
1758217989.2229152,4.506158351898193,-7.111,-4.718956091838973,-2.3920439081610265
