[1758210585187945735],,,,4.405,9.048,-0.031
[1758210585191596464],,,,4.343,9.019,-0.124
[1758210585195590266],,,,4.427,9.172,0.065
[1758210585199412870],,,,4.46,9.014,-0.165
[1758210585203087193],,,,4.424,9.002,-0.196
[1758210585206777558],,,,4.456,9.017,-0.117
[1758210585210536828],,,,4.403,9.029,-0.022
[1758210585214195006],,,,4.345,8.988,-0.065
[1758210585217842453],,,,4.199,9.007,-0.045
[1758210585221506099],,,,4.293,9.084,-0.103
[1758210585225207610],,,,4.295,9.117,-0.239
[1758210585228890214],,,,4.398,9.067,-0.024
[1758210585232541724],,,,4.312,9.026,-0.302
[1758210585236208651],,,,4.324,9.043,-0.017
[1758210585239983287],,,,4.334,8.825,-0.285
[1758210585243650474],,,,4.408,9.031,-0.031
[1758210585247319901],,,,4.405,8.897,0.079
[1758210585251083860],,,,4.494,9.117,0.124
[1758210585254777089],,,,4.362,8.988,-0.158
[1758210585258534797],,,,4.326,9.005,-0.22
[1758210585262267714],,,,4.307,9.191,-0.041
[1758210585266001047],,,,4.489,8.959,0.019
[1758210585269680370],,,,4.245,9.031,-0.175
[1758210585273368183],,,,4.494,8.899,0.101
[1758210585277067089],,,,4.59,9.045,-0.002
[1758210585280758026],,,,4.36,9.057,-0.4
[1758210585284406516],,,,4.379,9.007,-0.242
[1758210585288054901],,,,4.415,8.935,-0.103
[1758210585291710631],,,,4.302,8.961,-0.117
[1758210585295388860],,,,4.417,8.954,-0.259
[1758210585299089901],,,,4.398,9.029,-0.005
[1758210585303186516],,,,4.355,8.892,0.05
[1758210585306986047],,,,4.372,9.031,-0.081
[1758210585311569849],,,,4.372,9.055,-0.443
[1758210585315359797],,,,4.31,8.892,-0.065
[1758210585319007349],,,,4.326,8.964,-0.134
[1758210585322668651],,,,4.408,9.009,-0.148
[1758210585326324901],,,,4.374,9.06,-0.007
[1758210585330003495],,,,4.429,9.007,-0.122
[1758210585333648078],,,,4.338,8.887,-0.359
[1758210585337292870],,,,4.384,8.995,-0.148
[1758210585340970214],,,,4.441,8.976,0.045
[1758210585344601099],,,,4.41,9.129,-0.287
[1758210585348326985],,,,4.393,9.031,-0.077
[1758210585353599849],,,,4.398,8.892,-0.172
[1758210585357426672],,,,4.381,8.914,-0.196
[1758210585362077870],,,,4.401,9.0,-0.204
[1758210585365874068],,,,4.367,8.99,-0.158
[1758210585369600005],,,,4.324,8.952,-0.014
[1758210585373252974],,,,4.302,8.993,-0.022
[1758210585376894641],,,,4.439,8.94,-0.213
[1758210585380545370],,,,4.369,8.961,-0.084
[1758210585384174589],,,,4.396,9.1,-0.069
[1758210585387819068],,,,4.254,8.957,-0.158
[1758210585391500683],,,,4.302,9.038,-0.242
[1758210585395157349],,,,4.307,8.954,-0.247
[1758210585398852922],,,,4.355,9.074,-0.199
[1758210585402506412],,,,4.398,9.177,-0.01
[1758210585406279953],,,,4.173,9.189,-0.069
[1758210585410358755],,,,4.413,8.969,-0.122
[1758210585414044641],,,,4.415,9.0,-0.105
[1758210585417727662],,,,4.372,9.031,-0.077
[1758210585421400058],,,,4.408,9.002,-0.187
[1758210585425044328],,,,4.46,9.021,-0.029
[1758210585428758130],,,,4.372,8.933,0.146
[1758210585432396360],,,,4.326,9.038,0.057
[1758210585436051620],,,,4.398,9.103,-0.213
[1758210585439750266],,,,4.432,9.014,0.081
[1758210585444465630],,,,4.329,8.95,-0.192
[1758210585448535995],,,,4.594,8.976,-0.093
[1758210585452449849],,,,4.345,9.0,-0.153
[1758210585457257401],,,,4.338,9.009,-0.292
[1758210585461265943],,,,4.254,9.067,-0.187
[1758210585465219120],,,,4.36,9.096,-0.017
[1758210585469146568],,,,4.302,9.012,-0.084
[1758210585473026412],,,,4.386,8.959,-0.215
[1758210585476923912],,,,4.41,9.043,-0.187
[1758210585481738235],,,,4.417,8.981,-0.273
[1758210585485711985],,,,4.307,9.009,-0.244
[1758210585489530214],,,,4.475,8.973,-0.113
[1758210585493183912],,,,4.384,8.983,-0.196
[1758210585496867974],,,,4.436,9.062,-0.266
[1758210585500561203],,,,4.336,8.945,-0.014
[1758210585504213287],,,,4.441,9.074,-0.017
[1758210585507864849],,,,4.427,9.0,-0.074
[1758210585511551828],,,,4.19,9.091,-0.017
[1758210585515368078],,,,4.336,8.94,-0.072
[1758210585519144485],,,,4.401,9.045,-0.124
[1758210585522817610],,,,4.46,8.94,-0.204
[1758210585526589641],,,,4.254,9.115,-0.05
[1758210585530290110],,,,4.372,8.985,-0.239
[1758210585533952662],,,,4.427,8.961,-0.022
[1758210585539320526],,,,4.365,8.985,-0.247
[1758210585543023391],,,,4.393,9.048,-0.124
[1758210585546683078],,,,4.389,9.158,-0.022
[1758210585550348182],,,,4.415,8.973,-0.096
[1758210585554003130],,,,4.381,9.012,-0.036
[1758210585557676099],,,,4.19,8.926,-0.29
[1758210585561357297],,,,4.381,8.954,-0.11
[1758210585565028130],,,,4.389,9.014,-0.022
[1758210585568811203],,,,4.372,9.081,-0.294
[1758210585572506203],,,,4.374,8.978,0.127
[1758210585576174901],,,,4.343,9.036,-0.177
[1758210585579899120],,,,4.271,9.029,-0.132
[1758210585583578495],,,,4.353,9.0,-0.096
[1758210585587354953],,,,4.415,9.036,-0.11
[1758210585591029120],,,,4.336,9.072,-0.141
[1758210585594676099],,,,4.357,9.124,0.124
[1758210585598370318],,,,4.271,9.108,-0.089
[1758210585602087349],,,,4.405,8.971,-0.036
[1758210585605745422],,,,4.424,9.048,0.18
[1758210585609420266],,,,4.554,9.031,-0.093
[1758210585613095005],,,,4.36,8.981,-0.079
[1758210585616771932],,,,4.398,9.088,-0.139
[1758210585621621724],,,,4.365,9.029,-0.259
[1758210585625423130],,,,4.31,9.0,-0.034
[1758210585629113599],,,,4.341,8.969,-0.201
[1758210585632737037],,,,4.408,8.887,0.048
[1758210585636385162],,,,4.24,8.969,-0.091
[1758210585640056464],,,,4.286,9.009,-0.321
[1758210585643700162],,,,4.429,9.045,-0.007
[1758210585647347766],,,,4.389,9.064,-0.084
[1758210585651013807],,,,4.36,8.959,-0.206
[1758210585654698235],,,,4.372,8.897,-0.091
[1758210585658413443],,,,4.355,8.973,-0.043
[1758210585662136099],,,,4.386,8.985,-0.235
[1758210585665904537],,,,4.367,8.899,-0.077
[1758210585669674276],,,,4.324,8.95,-0.103
[1758210585673329797],,,,4.391,8.911,-0.101
[1758210585676973391],,,,4.482,8.918,-0.261
[1758210585680681932],,,,4.367,8.957,-0.136
[1758210585684327141],,,,4.384,8.983,0.117
